                                                             cve-2010-5278, cve-2015-9481, cve-2015-9482, cve-2017-1002201, cve-2018-1000877, cve-2018-1000878, cve-2018-1000879, cve-2018-1000880, cve-2018-1002204, cve-2018-19052, cve-2018-20685, cve-2018-5732, cve-2019-0065, cve-2019-0071, cve-2019-10923, cve-2019-10936, cve-2019-13411, cve-2019-13412, cve-2019-13929, cve-2019-14657, cve-2019-14810, cve-2019-15064, cve-2019-15065, cve-2019-15066, cve-2019-16925, cve-2019-16926, cve-2019-17115, cve-2019-17264, cve-2019-17449, cve-2019-17501, cve-2019-17507, cve-2019-17526, cve-2019-17543, cve-2019-17544, cve-2019-17629, cve-2019-17630, cve-2019-17664, cve-2019-18216, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2961, cve-2019-2965, cve-2019-8064, cve-2019-8160, cve-2019-8161, cve-2019-8162, cve-2019-8163, cve-2019-8164, cve-2019-8165, cve-2019-8166, cve-2019-8167, cve-2019-8168, cve-2019-8169, cve-2019-8170, cve-2019-8171, cve-2019-8172, cve-2019-8173, cve-2019-8174, cve-2019-8175, cve-2019-8176, cve-2019-8177, cve-2019-8178, cve-2019-8179, cve-2019-8180, cve-2019-8181, cve-2019-8182, cve-2019-8183, cve-2019-8184, cve-2019-8185, cve-2019-8186, cve-2019-8187, cve-2019-8188, cve-2019-8189, cve-2019-8190, cve-2019-8191, cve-2019-8192, cve-2019-8193, cve-2019-8194, cve-2019-8195, cve-2019-8196, cve-2019-8197, cve-2019-8198, cve-2019-8199, cve-2019-8200, cve-2019-8201, cve-2019-8202, cve-2019-8203, cve-2019-8204, cve-2019-8205, cve-2019-8206, cve-2019-8207, cve-2019-8208, cve-2019-8209, cve-2019-8210, cve-2019-8211, cve-2019-8212, cve-2019-8213, cve-2019-8214, cve-2019-8215, cve-2019-8216, cve-2019-8217, cve-2019-8218, cve-2019-8219, cve-2019-8220, cve-2019-8221, cve-2019-8222, cve-2019-8223, cve-2019-8224, cve-2019-8225, cve-2019-8226, cve-2019-8369, cve-2019-8370
1.3.4                                                        cve-2019-10759
1.3.5                                                        cve-2005-0758, cve-2017-14160, cve-2017-14632, cve-2017-14633
1.3.6                                                        cve-2018-10392, cve-2018-10393
1.3.6b                                                       cve-2019-18217
1.3.7rc                                                      cve-2019-18217
1.3.7rc2                                                     cve-2019-18217
1.30.1                                                       cve-2018-0503, cve-2018-0505
1.31                                                         cve-2018-0503, cve-2018-0505
1.31.1                                                       cve-2018-0503, cve-2018-0505
1.33.0                                                       cve-2019-16738
1.4                                                          cve-2019-0227
1.4.0                                                        cve-2015-4075, cve-2019-17575, cve-2019-6472, cve-2019-6473, cve-2019-6474
1.4.0.8                                                      cve-2018-20582
1.4.1                                                        cve-2019-17601
1.4.2                                                        cve-2015-9493, cve-2015-9503
1.4.3                                                        cve-2015-9466
1.4.5                                                        cve-2015-9502
1.4.50                                                       cve-2018-19052
1.5                                                          cve-2015-9475, cve-2019-17455
1.5.0                                                        cve-2019-17415, cve-2019-6472, cve-2019-6473, cve-2019-6474
1.5.1                                                        cve-2019-17593
1.5.1.0                                                      cve-2019-17528, cve-2019-17529, cve-2019-17530
1.5.17                                                       cve-2019-17533
1.5.3                                                        cve-2015-9497
1.6                                                          cve-2015-9496, cve-2019-13529
1.6.0-beta1                                                  cve-2019-6472, cve-2019-6473, cve-2019-6474
1.6.0-beta2                                                  cve-2019-6472, cve-2019-6473, cve-2019-6474
1.6.2                                                        cve-2019-18359
1.6.4                                                        cve-2019-17600
1.6.8                                                        cve-2015-9457
1.60.01                                                      cve-2019-11526, cve-2019-11527, cve-2019-11528
1.62.0.1218                                                  cve-2019-9491
1.63                                                         cve-2019-17359
1.64                                                         cve-2019-17359
1.7.0                                                        cve-2019-16097
1.7.1                                                        cve-2015-9499
1.7.3                                                        cve-2019-17393, cve-2019-17408
1.7.5                                                        cve-2019-17513, cve-2019-18209
1.7.5.3                                                      cve-2019-14276
1.7.9                                                        cve-2019-0227
1.71.00.1225                                                 cve-2019-15051
1.8                                                          cve-2019-3008
